"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","GO:0045229","external encapsulating structure organization","35/622","317/18614",5.91140999735261e-10,1.01767196723655e-07,8.13955684250859e-08,"25890/9510/81794/170692/11096/11095/92949/10218/857/1215/7373/1308/1284/1511/133584/2022/10516/23768/2670/3036/60495/8516/3908/4147/4239/8510/4629/11107/10266/6692/7075/7092/7148/7177/5212",35
"GO:0043542","GO:0043542","endothelial cell migration","32/622","283/18614",1.79901660642598e-09,2.98236975198617e-07,2.38536275963148e-07,"94/51378/84913/4856/1003/161198/153090/54567/1948/1960/2247/2324/3397/3791/9314/4223/79812/4846/3164/8829/8613/5764/5797/57381/23328/9037/9353/54345/6915/6997/7010/7424",32
"GO:0035924","GO:0035924","cellular response to vascular endothelial growth factor stimulus","16/622","74/18614",2.21927965556498e-09,3.54767704939602e-07,2.83750755961522e-07,"153090/28514/54567/1960/2321/2324/3791/3164/8829/5228/10266/57556/10253/7148/7424/2277",16
"GO:0001945","GO:0001945","lymph vessel development","11/622","31/18614",2.44782947032933e-09,3.77809817558417e-07,3.02180327716518e-07,"94/161198/1948/2247/2324/57493/3791/54345/79987/7075/7424",11
"GO:0060485","GO:0060485","mesenchyme development","34/622","320/18614",2.84306048506475e-09,4.1050124939193e-07,3.28327630210704e-07,"94/11096/8854/187/153090/8642/1908/1910/2022/2042/2487/23462/3082/3202/3357/3479/54756/182/4222/4487/4846/4855/8829/5311/56920/9037/57556/10501/10252/10253/6909/7048/7049/7148",34
"GO:0072001","GO:0072001","renal system development","34/622","320/18614",2.84306048506475e-09,4.1050124939193e-07,3.28327630210704e-07,"9510/8854/358/84159/947/1028/8642/28514/1910/1948/1958/2247/2736/2828/3399/8516/182/3764/26249/4038/4774/8829/5125/5154/80310/5175/5311/29927/9353/64321/10252/7010/7484/7704",34
"GO:0001990","GO:0001990","regulation of systemic arterial blood pressure by hormone","12/622","39/18614",2.98605883760645e-09,4.17674979910203e-07,3.34065332457222e-07,"552/554/1215/1359/1511/1908/1910/2149/4846/5021/5125/6196",12
"GO:0008217","GO:0008217","regulation of blood pressure","25/622","187/18614",3.65695307484141e-09,4.96015817060307e-07,3.96724000240371e-07,"10060/94/477/552/554/947/1215/10391/1359/1511/28514/1908/1910/2149/2931/3043/9365/4846/4881/5021/5125/10266/6196/6915/7424",25
"GO:0001822","GO:0001822","kidney development","33/622","310/18614",4.64824563143493e-09,6.11927866067728e-07,4.89432922368737e-07,"9510/8854/358/84159/947/1028/8642/28514/1910/1948/1958/2247/2736/2828/3399/8516/182/3764/26249/4038/8829/5125/5154/80310/5175/5311/29927/9353/64321/10252/7010/7484/7704",33
"GO:0050878","GO:0050878","regulation of body fluid levels","36/622","361/18614",5.33459801410029e-09,6.82218877460368e-07,5.45653168299401e-07,"170692/150/187/358/554/388552/857/947/10391/1465/1511/1910/953/2159/2149/2151/9002/2152/2623/3043/57493/22915/4846/4881/5021/5154/375033/10544/5627/6403/8835/6915/7035/7056/7432/7450",36
"GO:0003012","GO:0003012","muscle system process","41/622","452/18614",7.39740100056286e-09,9.12891551760519e-07,7.30150079379504e-07,"10060/150/287/477/775/8913/781/10203/845/857/1145/1160/1674/1908/1910/30845/2149/2308/10052/2931/2934/3357/3363/3479/3736/3764/4629/4846/3164/5021/221476/4660/11280/6327/6330/6332/6442/6547/6909/6915/7222",41
"GO:0006936","GO:0006936","muscle contraction","35/622","349/18614",7.54624383716247e-09,9.12891551760519e-07,7.30150079379504e-07,"10060/150/287/477/775/8913/781/10203/845/857/1145/1160/1674/1908/1910/30845/2149/10052/2934/3357/3363/3736/3764/4629/3164/5021/4660/11280/6327/6330/6332/6442/6547/6909/6915",35
"GO:0001654","GO:0001654","eye development","37/622","385/18614",8.84909546192966e-09,1.04233029704203e-06,8.33677940887058e-07,"340273/94/170692/8854/10218/358/22899/388552/775/1028/28514/54567/2202/2247/2321/8322/9573/182/3725/3791/9314/10319/4081/4211/4212/85407/8829/94233/5797/343035/57381/57030/10252/10253/6909/7048/7484",37
"GO:0042060","GO:0042060","wound healing","40/622","439/18614",9.98594746044939e-09,1.14607950853773e-06,9.16658766882277e-07,"94/170692/150/358/83478/388552/857/947/149461/1465/1511/2004/953/2159/2149/2151/9002/2152/2247/2623/2828/3043/3479/90865/3791/4162/22915/4846/4855/5154/375033/8613/10544/5627/6403/6915/7035/7048/7056/7450",40
"GO:0150063","GO:0150063","visual system development","37/622","389/18614",1.16605175512868e-08,1.304811913989e-06,1.04361632084017e-06,"340273/94/170692/8854/10218/358/22899/388552/775/1028/28514/54567/2202/2247/2321/8322/9573/182/3725/3791/9314/10319/4081/4211/4212/85407/8829/94233/5797/343035/57381/57030/10252/10253/6909/7048/7484",37
"GO:0007599","GO:0007599","hemostasis","27/622","230/18614",1.51585028941717e-08,1.62302997016844e-06,1.2981338903492e-06,"170692/150/554/388552/857/947/1465/1511/953/2159/2149/2151/9002/2152/2623/3043/22915/4846/5154/375033/10544/5627/6403/6915/7035/7056/7450",27
"GO:1903522","GO:1903522","regulation of blood circulation","29/622","261/18614",1.54986338933771e-08,1.62302997016844e-06,1.2981338903492e-06,"10060/150/287/477/482/552/554/775/8913/781/845/857/1674/1908/1910/30845/2034/2149/10052/2931/4846/5021/64091/6327/6330/6547/6909/6915/7220",29
"GO:0031589","GO:0031589","cell-substrate adhesion","35/622","359/18614",1.5592110973468e-08,1.62302997016844e-06,1.2981338903492e-06,"25890/94/347/395/482/56477/947/1308/10391/10395/133584/2042/2196/10516/158326/8322/3232/3397/3672/8515/8516/182/83700/3791/10894/4739/8829/79834/81848/7010/55901/63923/7148/5212/7450",35
"GO:0048880","GO:0048880","sensory system development","37/622","395/18614",1.7496194809316e-08,1.77984018105679e-06,1.42355403221253e-06,"340273/94/170692/8854/10218/358/22899/388552/775/1028/28514/54567/2202/2247/2321/8322/9573/182/3725/3791/9314/10319/4081/4211/4212/85407/8829/94233/5797/343035/57381/57030/10252/10253/6909/7048/7484",37
"GO:0007596","GO:0007596","blood coagulation","26/622","224/18614",3.53657516436673e-08,3.51771343015678e-06,2.81354201965176e-06,"170692/150/388552/857/947/1465/1511/953/2159/2149/2151/9002/2152/2623/3043/22915/4846/5154/375033/10544/5627/6403/6915/7035/7056/7450",26
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","26/622","225/18614",3.8752855448261e-08,3.77082132579166e-06,3.01598309792988e-06,"94/187/51162/1960/2152/2247/2252/2324/3357/3373/3397/3479/3481/3725/3791/3164/8829/5228/5764/9037/7010/7060/8626/7424/2277/7432",26
"GO:0003044","GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","12/622","48/18614",4.03913247999973e-08,3.84662914478272e-06,3.07661580391469e-06,"552/554/1215/1359/1511/1908/1910/2149/4846/5021/5125/6196",12
"GO:0060537","GO:0060537","muscle tissue development","38/622","426/18614",4.13516887768733e-08,3.85604497844343e-06,3.0841467879418e-06,"8854/8913/857/1465/28514/54567/1948/1958/1959/2022/2247/2353/10052/2735/2931/57493/23462/3131/3236/3235/3479/3481/8516/23764/4223/4487/4629/3164/5239/221476/5311/64091/1901/150572/6909/7048/7049/63923",38
"GO:0043114","GO:0043114","regulation of vascular permeability","12/622","49/18614",5.18807941600895e-08,4.73915172776654e-06,3.79047434883919e-06,"9590/388125/1003/7122/2828/4881/5138/5139/83483/10266/9353/7010",12
"GO:0050817","GO:0050817","coagulation","26/622","229/18614",5.55524469492641e-08,4.97305505089813e-06,3.97755520156731e-06,"170692/150/388552/857/947/1465/1511/953/2159/2149/2151/9002/2152/2623/3043/22915/4846/5154/375033/10544/5627/6403/6915/7035/7056/7450",26
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","29/622","278/18614",6.2791593134357e-08,5.51088570332121e-06,4.40772359649016e-06,"64072/1003/1004/5010/149461/7122/1366/8642/90952/2196/79633/256158/9314/145581/94030/57689/51294/54510/56131/56107/56099/5098/5175/5797/54538/6403/8404/57451/7048",29
"GO:0038084","GO:0038084","vascular endothelial growth factor signaling pathway","12/622","50/18614",6.620936616976e-08,5.69909851876627e-06,4.55826020937963e-06,"153090/28514/2321/2324/3791/8829/5228/57556/10253/7148/7424/2277",12
"GO:0060047","GO:0060047","heart contraction","27/622","247/18614",6.83411172382968e-08,5.7277946369581e-06,4.58121197504691e-06,"10060/287/477/482/552/775/8913/781/845/857/1674/1908/1910/30845/2034/10052/2931/2934/3764/4846/64091/6196/6327/6330/6547/6909/7220",27
"GO:0007626","GO:0007626","locomotory behavior","24/622","201/18614",6.910208007054e-08,5.7277946369581e-06,4.58121197504691e-06,"26090/477/64072/10752/1949/1958/8322/2788/3236/3235/27306/163175/4211/4887/4909/57144/5179/80243/5071/5649/6414/6571/6622/6886",24
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","23/622","188/18614",8.25465216721302e-08,6.67707643032729e-06,5.34046774364872e-06,"8642/54567/2022/2247/2252/2736/3082/3202/3791/4855/8829/5154/5311/54922/9353/6692/10252/10253/6909/7048/7075/8626/7484",23
"GO:0001763","GO:0001763","morphogenesis of a branching structure","24/622","203/18614",8.35380429174102e-08,6.67707643032729e-06,5.34046774364872e-06,"8642/54567/2022/2247/2252/2736/3082/3202/3791/4855/8829/5154/5311/54922/9353/6692/10252/10253/6909/6997/7048/7075/8626/7484",24
"GO:0034767","GO:0034767","positive regulation of monoatomic ion transmembrane transport","22/622","175/18614",9.690388378159e-08,7.6095049790596e-06,6.08624392873846e-06,"5243/117/287/187/482/781/857/1908/30845/2149/9002/57165/3736/54413/5311/5649/85358/6622/54997/7220/7222/7225",22
"GO:0035904","GO:0035904","aorta development","13/622","63/18614",1.28779968238837e-07,9.93826099719022e-06,7.94883252232819e-06,"94/187/54567/1948/1959/2022/23462/182/4804/5138/5311/6909/7048",13
"GO:0043534","GO:0043534","blood vessel endothelial cell migration","22/622","179/18614",1.45196716903035e-07,1.10152627942031e-05,8.81024146631972e-06,"94/51378/1003/161198/54567/1948/1960/2247/3397/3791/9314/4223/79812/4846/3164/8829/57381/9353/54345/6915/6997/7424",22
"GO:0001709","GO:0001709","cell fate determination","11/622","44/18614",1.49288561005965e-07,1.1136926651045e-05,8.90755080668924e-06,"28514/64641/3199/182/9314/4855/4909/8643/64321/6909/7148",11
"GO:0071560","GO:0071560","cellular response to transforming growth factor beta stimulus","28/622","274/18614",1.63325961946956e-07,1.19843771422062e-05,9.58535973393612e-06,"94/857/1003/1028/7122/7123/1284/2022/2353/2662/3397/54756/8516/3725/8425/5138/5139/5154/80310/5179/63976/4093/10252/10253/7048/7049/7148/9839",28
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","21/622","166/18614",1.69790099573726e-07,1.22577497692258e-05,9.80400897538613e-06,"94/81575/84913/857/1003/1028/7122/28514/2247/2487/9573/3397/182/23764/4855/8643/10252/10253/8626/7484/7538",21
"GO:0003015","GO:0003015","heart process","27/622","259/18614",1.81295592492787e-07,1.28806201904399e-05,1.03021939860981e-05,"10060/287/477/482/552/775/8913/781/845/857/1674/1908/1910/30845/2034/10052/2931/2934/3764/4846/64091/6196/6327/6330/6547/6909/7220",27
"GO:0008016","GO:0008016","regulation of heart contraction","24/622","213/18614",2.07594227644507e-07,1.45186212958877e-05,1.16123021088646e-05,"10060/287/477/482/552/775/8913/781/845/857/1674/1908/1910/30845/2034/10052/2931/4846/64091/6327/6330/6547/6909/7220",24
"GO:1901343","GO:1901343","negative regulation of vasculature development","20/622","154/18614",2.16214975481144e-07,1.48888958500554e-05,1.19084555726538e-05,"9510/51378/10218/7122/1284/153090/641700/4303/2828/3202/3339/10365/9314/4881/5797/57556/10253/7010/7060/7075",20
"GO:0010632","GO:0010632","regulation of epithelial cell migration","29/622","295/18614",2.25456269113464e-07,1.51392777317542e-05,1.21087163270063e-05,"94/51378/84913/153090/54567/5168/2247/2252/2324/3373/3725/3791/9314/4223/79812/4846/8829/8613/5764/5797/57381/23328/9037/9353/6915/6997/7010/7048/7424",29
"GO:1901888","GO:1901888","regulation of cell junction assembly","24/622","214/18614",2.26615640756821e-07,1.51392777317542e-05,1.21087163270063e-05,"94/187/347/395/22899/857/149461/7122/10395/1949/2042/23768/3791/145581/94030/57633/54674/54413/8829/5021/79834/6622/8128/7010",24
"GO:0071559","GO:0071559","response to transforming growth factor beta","28/622","280/18614",2.56172936681169e-07,1.68622068321311e-05,1.34867516664498e-05,"94/857/1003/1028/7122/7123/1284/2022/2353/2662/3397/54756/8516/3725/8425/5138/5139/5154/80310/5179/63976/4093/10252/10253/7048/7049/7148/9839",28
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","29/622","298/18614",2.79300534817481e-07,1.81181042585949e-05,1.44912451398055e-05,"117/57569/57636/83478/395/22899/153090/10395/2149/2151/9002/152273/2843/2828/57493/3479/2846/4803/8829/157285/80243/54922/5649/58480/9353/10252/10253/81848/9754",29
"GO:0061564","GO:0061564","axon development","39/622","479/18614",3.03016770042244e-07,1.93757580387012e-05,1.54971433821605e-05,"347/886/10752/85458/1908/1948/1949/1959/2042/23768/2736/256158/3199/57611/3725/3736/9314/4038/57689/4131/4803/4804/54413/4858/8829/9890/5764/5797/5649/54538/8578/11280/56920/9037/57556/10501/9353/6586/63923",39
"GO:0043010","GO:0043010","camera-type eye development","31/622","338/18614",4.0492202332043e-07,2.55271968504541e-05,2.04171949786921e-05,"94/8854/10218/358/22899/775/1028/28514/54567/2202/2247/2321/8322/182/3725/3791/9314/10319/4081/4211/8829/94233/5797/343035/57381/57030/10252/10253/6909/7048/7484",31
"GO:0050886","GO:0050886","endocrine process","15/622","93/18614",4.27986682072998e-07,2.66065054022047e-05,2.12804489141852e-05,"358/552/554/1215/1359/1393/1511/1908/1910/2149/8322/4846/5021/5125/6196",15
"GO:0036303","GO:0036303","lymph vessel morphogenesis","8/622","23/18614",4.67326668462416e-07,2.86541666854489e-05,2.29182119602116e-05,"94/161198/2247/2324/54345/79987/7075/7424",8
"GO:0007160","GO:0007160","cell-matrix adhesion","25/622","239/18614",4.83451858939892e-07,2.92423043326346e-05,2.33886169595245e-05,"94/347/395/56477/947/1308/10391/10395/2042/10516/158326/3232/3672/8515/8516/182/83700/3791/10894/8829/79834/7010/55901/63923/7148",25
"GO:0003073","GO:0003073","regulation of systemic arterial blood pressure","15/622","94/18614",4.93780719530132e-07,2.94688333415583e-05,2.3569799678905e-05,"552/554/1215/10391/1359/1511/1908/1910/2149/2931/9365/4846/5021/5125/6196",15
"GO:0061437","GO:0061437","renal system vasculature development","9/622","31/18614",5.11513613721887e-07,2.97342199353138e-05,2.37820615210955e-05,"358/947/1958/2828/8829/80310/5175/5311/7010",9
"GO:0061440","GO:0061440","kidney vasculature development","9/622","31/18614",5.11513613721887e-07,2.97342199353138e-05,2.37820615210955e-05,"358/947/1958/2828/8829/80310/5175/5311/7010",9
"GO:0009952","GO:0009952","anterior/posterior pattern specification","23/622","209/18614",5.66177828667899e-07,3.2489896937404e-05,2.59861105978343e-05,"92/8854/60529/28514/2114/9573/23462/3199/3200/3201/3202/3203/3236/3232/3235/4222/4223/4487/85407/5125/64321/6997/7704",23
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","21/622","179/18614",6.09304972178426e-07,3.45221399426662e-05,2.76115417771995e-05,"117/552/775/781/857/56477/1910/2149/2151/9002/2623/2843/2828/2846/5021/5311/1901/6863/6915/7222/7225",21
"GO:0006816","GO:0006816","calcium ion transport","37/622","455/18614",6.30648169685651e-07,3.52847650939122e-05,2.82215055934329e-05,"117/150/287/187/477/9478/57685/775/8913/781/10203/845/857/64072/1910/30845/2149/9002/2247/2669/2701/57165/3357/286097/4846/5311/10266/5957/11280/6332/29927/6547/6622/7220/7222/7223/7225",37
"GO:0002042","GO:0002042","cell migration involved in sprouting angiogenesis","15/622","96/18614",6.53378550517479e-07,3.61052147174844e-05,2.88777186525009e-05,"161198/54567/1948/1960/2247/3791/9314/4223/79812/3164/8829/57381/9353/6915/6997",15
"GO:0060840","GO:0060840","artery development","16/622","109/18614",6.6581645233456e-07,3.63438346420669e-05,2.90685719433869e-05,"94/221395/187/54567/1948/1959/2022/23462/182/4804/8829/5138/5311/11280/6909/7048",16
"GO:0003203","GO:0003203","endocardial cushion morphogenesis","10/622","41/18614",7.09936670405782e-07,3.78687876994273e-05,3.02882618328753e-05,"94/11096/187/8642/2022/23462/4487/4846/6909/7048",10
"GO:0016525","GO:0016525","negative regulation of angiogenesis","19/622","151/18614",7.10674299989252e-07,3.78687876994273e-05,3.02882618328753e-05,"9510/51378/7122/1284/153090/641700/4303/2828/3202/3339/10365/9314/4881/5797/57556/10253/7010/7060/7075",19
"GO:0051960","GO:0051960","regulation of nervous system development","37/622","461/18614",8.65426225094996e-07,4.53559416347417e-05,3.62766467945432e-05,"85458/28514/54567/1949/1959/2247/23768/8322/2670/57165/23462/3082/3397/90865/57611/58494/163175/4038/94030/57633/54674/4131/4803/54413/8829/5021/5764/5649/56920/9037/57556/10501/85358/9353/6692/8128/7424",37
"GO:2000181","GO:2000181","negative regulation of blood vessel morphogenesis","19/622","153/18614",8.71450174394054e-07,4.53559416347417e-05,3.62766467945432e-05,"9510/51378/7122/1284/153090/641700/4303/2828/3202/3339/10365/9314/4881/5797/57556/10253/7010/7060/7075",19
"GO:0048863","GO:0048863","stem cell differentiation","25/622","247/18614",8.95489130387803e-07,4.54353077977058e-05,3.634012553972e-05,"2/8854/1908/1910/2247/4303/2487/3357/182/3861/4222/4487/8829/5764/56920/9037/57556/10501/64321/54345/6886/6909/8626/117854/7538",25
"GO:0007517","GO:0007517","muscle organ development","31/622","351/18614",9.15981526567015e-07,4.54353077977058e-05,3.634012553972e-05,"60529/84159/857/1674/28514/54567/1958/1959/1960/2022/2353/4303/57493/3131/3236/3235/3399/3479/3481/3908/23764/4223/4487/3164/64091/5463/1901/11280/6442/150572/7049",31
"GO:0045165","GO:0045165","cell fate commitment","27/622","281/18614",9.21228745408993e-07,4.54353077977058e-05,3.634012553972e-05,"50846/28514/54567/64641/2034/2114/2247/2623/9573/2736/3199/3236/182/3791/9314/4855/8829/4909/8643/64321/54345/10253/6886/6913/6909/7148/7484",27
"GO:0003197","GO:0003197","endocardial cushion development","11/622","52/18614",9.22255484620993e-07,4.54353077977058e-05,3.634012553972e-05,"94/11096/187/8642/2022/23462/182/4487/4846/6909/7048",11
"GO:0043270","GO:0043270","positive regulation of monoatomic ion transport","24/622","231/18614",9.23729448076681e-07,4.54353077977058e-05,3.634012553972e-05,"5243/117/150/287/187/482/781/857/1908/30845/2149/9002/57165/3736/54413/5311/5649/6330/85358/6622/54997/7220/7222/7225",24
